Location name,Amount spent (USD)
Alabama,16737
Alaska,3407
American Samoa,≤100
Arizona,33546
Arkansas,10620
California,147667
Colorado,26624
Connecticut,10963
Delaware,3941
Florida,89716
Georgia,37452
Guam,≤100
Hawaii,4962
Idaho,6827
Illinois,44475
Indiana,26039
Iowa,19421
Kansas,13216
Kentucky,19769
Louisiana,21383
Maine,6094
Maryland,26160
Massachusetts,23444
Michigan,41455
Minnesota,26212
Mississippi,18115
Missouri,23290
Montana,5303
Nebraska,6654
Nevada,16730
New Hampshire,7476
New Jersey,41864
New Mexico,7871
New York,71388
North Carolina,45679
North Dakota,2217
Northern Mariana Islands,≤100
Ohio,91795
Oklahoma,15888
Oregon,14704
Pennsylvania,55433
Puerto Rico,≤100
Rhode Island,4221
South Carolina,25447
South Dakota,2313
Tennessee,34899
Texas,115168
Unknown,≤100
Utah,10266
Vermont,1951
Virgin Islands (U.S.),≤100
Virginia,39103
Washington,29229
"Washington, District of Columbia",14963
West Virginia,8680
Wisconsin,22696
Wyoming,2168
