Location name,Amount spent (DKK)
Capital Region of Denmark,38518
Central Denmark Region,19231
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8743
Region of Southern Denmark,16645
Unknown,≤100
Zealand Region,12163
