Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
101433223004307,Harapan Malaysia,Harapan Malaysia,8445,67
351151669407977,Perikatan Nasional Selangor,Perikatan Nasional Selangor,5640,3
100636399607458,Malaysia MADANI,Malaysia MADANI,4776,78
107575511165573,Pemuda Perikatan Nasional,Pemuda Perikatan Nasional,4002,6
301207935102,Dr. Zamri Mantop DZM,Dr. Zamri Mantop DZM,3685,15
463155437071608,Shafie Ngah,Shafie Ngah,3596,8
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,2946,19
804067589671488,Mohamed Sukri Omar,Mohamed Sukri Omar,2394,12
104832252039496,Muiz Mahyuddin,Muiz Mahyuddin,2233,11
941820015830543,Prajurit Bangsa,Prajurit Bangsa,1550,15
108135858845529,Reformis Madani,Reformis Madani,1358,18
105507969277765,Tawaran Madani,Tawaran Madani,1257,373
126954327375871,Dato' Dr Halim Tamuri,Dato' Dr Halim Tamuri,1248,20
1955662711111123,Apa Kata Orang,Apa Kata Orang,1204,300
250575895511338,Perpaduan Malaysia,AMANAH,1180,6
1130669147012110,Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,1178,2
109200124310350,Selangor Bangkit,Selangor Bangkit,1136,26
217333465690188,Nushi Mahfodz,Nushi Mahfodz,988,4
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,900,11
150274412333441,Ana Tahu,Ana Tahu,875,11
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Ghazi,872,1
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,832,3
2185153884869227,Dewan Pemuda PAS Negeri Kedah - DPPNK,Dewan Pemuda PAS Negeri Kedah - DPPNK,802,1
87363369882,Sinar Harian,Sinar Harian,802,15
130114577096206,刘镇东,Liew Chin Tong,751,5
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,631,7
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,628,13
31373189944,Malaysiakini BM,FG Media Sdn Bhd,605,7
105967282587565,Ahmad Fauzi Chik,Parti Keadilan Rakyat,598,4
430665967118189,Profesional Istiqamah,Profesional Istiqamah,589,1
195105060510135,Kementerian Dalam Negeri (KDN),Kementerian Dalam Negeri (KDN),530,1
112918013453569,PAS Terengganu,PAS TERENGGANU,519,34
459834304085543,Cikgu Sharifah,Cikgu Sharifah,518,21
360318124441619,Zamri Yusuf,Zamri Yusuf,466,10
