Location name,Amount spent (RON)
Alba County,766
Arad County,736
Argeș County,940
Bacău County,1100
Bihor County,970
Bistrița-Năsăud County,508
Botoșani County,596
Brașov County,1385
Brăila County,502
Bucharest,5127
Buzău County,683
Caraș-Severin County,524
Cluj County,1993
Constanța County,1533
Covasna County,312
Călărași County,527
Dolj County,958
Dâmbovița County,846
Galați County,831
Giurgiu County,363
Gorj County,570
Harghita County,563
Hunedoara County,893
Ialomița County,513
Iași County,1588
Ilfov County,805
Maramureș County,804
Mehedinți County,524
Mureș County,954
Neamț County,1354
Olt County,544
Prahova County,1365
Satu Mare County,609
Sibiu County,724
Suceava County,1178
Sălaj County,374
Teleorman County,452
Timiș County,1458
Tulcea County,342
Unknown,≤100
Vaslui County,556
Vrancea County,720
Vâlcea County,575
