Location name,Amount spent (EGP)
Al Sharqia Governorate,1123
Alexandria Governorate,1213
Aswan Governorate,209
Asyut Governorate,506
Beheira Governorate,719
Beni Suef Governorate,352
Cairo Governorate,5005
Dakahlia Governorate,1250
Damietta Governorate,368
Faiyum Governorate,315
Gharbia Governorate,1160
Giza Governorate,1383
Ismailia Governorate,273
Kafr el-Sheikh Governorate,535
Luxor Governorate,137
Matrouh Governorate,≤100
Minya Governorate,522
Monufia Governorate,663
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,244
Qalyubia Governorate,997
Qena Governorate,356
Red Sea Governorate,105
Sohag Governorate,497
South Sinai Governorate,≤100
Suez Governorate,128
Unknown,≤100
