Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,498
Bangkok,7880
Bueng Kan,≤100
Buriram,253
Chachoengsao,181
Chai Nat,≤100
Chaiyaphum,155
Chanthaburi,138
Chiang Mai,598
Chiang Rai,250
Chon Buri,501
Chumphon,292
Kalasin,174
Kamphaeng Phet,111
Kanchanaburi,221
Khon Kaen,320
Krabi,289
Lampang,171
Lamphun,≤100
Loei,≤100
Lop Buri,136
Mae Hong Son,≤100
Maha Sarakham,167
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,211
Nakhon Phanom,115
Nakhon Ratchasima,499
Nakhon Sawan,459
Nakhon Si Thammarat,1950
Nan,≤100
Narathiwat,159
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,503
Pathum Thani,374
Pattani,141
Phangnga,153
Phatthalung,355
Phayao,≤100
Phetchabun,144
Phetchaburi,689
Phichit,324
Phitsanulok,2812
Phrae,103
Phuket,971
Prachin Buri,136
Prachuap Khiri Khan,356
Ranong,≤100
Ratchaburi,197
Rayong,239
Roi Et,223
Sa Kaeo,≤100
Sakon Nakhon,172
Samut Prakan,347
Samut Sakhon,224
Samut Songkhram,≤100
Saraburi,163
Satun,126
Sing Buri,≤100
Sisaket,205
Songkhla,907
Sukhothai,114
Suphan Buri,360
Surat Thani,5528
Surin,227
Tak,132
Trang,568
Trat,≤100
Ubon Ratchathani,355
Udon Thani,254
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,145
Yasothon,133
