Location name,Amount spent (PLN)
Greater Poland Voivodeship,5053
Kuyavian-Pomeranian Voivodeship,2629
Lesser Poland Voivodeship,4694
Lower Silesian Voivodeship,3853
Lublin Voivodeship,2593
Lubusz Voivodeship,1107
Masovian Voivodeship,8572
Opole Voivodeship,882
Podkarpackie Voivodeship,1962
Podlaskie Voivodeship,1027
Pomeranian Voivodeship,3316
Silesian Voivodeship,5376
Unknown,≤100
Warmian-Masurian Voivodeship,1422
West Pomeranian Voivodeship,2012
Łódź Voivodeship,3956
Świętokrzyskie Voivodeship,1110
