Location name,Amount spent (INR)
Andaman and Nicobar Islands,272
Andhra Pradesh,151472
Arunachal Pradesh,1628
Assam,35760
Bihar,106767
Chandigarh,2100
Chhattisgarh,22055
Dadra and Nagar Haveli,2876
Delhi,210546
Goa,2690
Gujarat,1769029
Haryana,77831
Himachal Pradesh,20342
Jammu and Kashmir,14627
Jharkhand,21619
Karnataka,89098
Kerala,27928
Lakshadweep,≤100
Madhya Pradesh,89671
Maharashtra,252002
Manipur,3594
Meghalaya,19566
Mizoram,1531
Nagaland,1362
Odisha,19716
Puducherry,2046
Punjab region,36754
Rajasthan,157661
Sikkim,1301
Tamil Nadu,55468
Telangana,38316
Tripura,8818
Unknown,≤100
Uttar Pradesh,172205
Uttarakhand,16219
West Bengal,74470
