Location name,Amount spent (ARS)
Buenos Aires,37400958
Catamarca,1251420
Chaco,701571
Chubut,399246
Ciudad Autónoma de Buenos Aires,6977433
Corrientes,648368
Córdoba,4467503
Entre Rios,6377428
Formosa,398155
Jujuy,1865307
La Pampa,330841
La Rioja,580723
Mendoza,1472873
Misiones,1235792
Neuquén,484892
Río Negro,596215
Salta,1054797
San Juan,712298
San Luis,598928
Santa Cruz,828505
Santa Fe,3499216
Santiago del Estero,692138
Tierra del Fuego,359478
Tucuman,1145088
Unknown,2139
