Location name,Amount spent (AUD)
Australian Capital Territory,601
Jervis Bay Territory,≤100
New South Wales,10382
Northern Territory,203
Queensland,5570
South Australia,2069
Tasmania,887
Unknown,≤100
Victoria,6307
Western Australia,2977
