Location name,Amount spent (MXN)
Aguascalientes,4725
Baja California,25582
Baja California Sur,4024
Campeche,24497
Chiapas,10997
Chihuahua,27292
Coahuila de Zaragoza,226095
Colima,3756
Distrito Federal,155985
Durango,9186
Guanajuato,20778
Guerrero,8339
Hidalgo,10003
Jalisco,103869
Michoacán de Ocampo,32476
Morelos,20248
Nayarit,4269
Nuevo León,46319
Oaxaca,15406
Puebla,27632
Querétaro Arteaga,14551
Quintana Roo,38239
San Luis Potosi,9620
Sinaloa,10693
Sonora,19832
State of Mexico,267395
Tabasco,7432
Tamaulipas,17350
Tlaxcala,3516
Unknown,≤100
Veracruz,26231
Yucatán,19511
Zacatecas,4444
