Location name,Amount spent (USD)
Azuay Province,691
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,142
Chimborazo Province,185
Cotopaxi Province,120
El Oro Province,620
Esmeraldas Province,292
Galápagos Province,≤100
Guayas Province,2664
Imbabura Province,185
Loja Province,170
Los Ríos Province,495
Manabí Province,1258
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1606
Santa Elena Province,279
Santo Domingo de los Tsáchilas Province,679
Sucumbíos Province,≤100
Tungurahua Province,183
Unknown,≤100
Zamora-Chinchipe Province,≤100
