Location name,Amount spent (IDR)
Aceh,865653
Bali,2505634
Bangka–Belitung Islands,340757
Banten,2026964
Bengkulu,540351
Central Java,10229745
Central Kalimantan,565702
Central Sulawesi,816049
East Java,7695996
East Kalimantan,1602339
East Nusa Tenggara,1093846
Gorontalo,434327
Jakarta,3613766
Jambi,667464
Lampung,1618705
Maluku,729975
North Kalimantan,252262
North Maluku,368319
North Sulawesi,2141614
North Sumatra,2292010
Papua (province),696002
Riau,1339390
Riau Islands Province,915371
South Kalimantan,921992
South Sulawesi,2769416
South Sumatra,1590075
Southeast Sulawesi,511032
Special Region of Yogyakarta,1350548
Unknown,1294
West Java,7806163
West Kalimantan,1811841
West Nusa Tenggara,1302398
West Papua,301346
West Sulawesi,312083
West Sumatra,1162514
