Location name,Amount spent (COP)
Amazonas,1724
Antioquia,2739113
Arauca,16709
Atlantico,327279
Bolivar,389003
Boyaca,213754
Caldas,102260
Caqueta,84658
Casanare,35059
Cauca,135427
Cesar,127943
Choco,14611
Cordoba,157590
Cundinamarca,426041
Distrito Especial,2157274
Guainia,1329
Guaviare,3110
Huila,116097
La Guajira,45685
Magdalena,145173
Meta,390658
Narino,81564
Norte de Santander,364267
Putumayo,14333
Quindio,75264
Risaralda,462593
San Andres y Providencia,5090
Santander,152226
Sucre,76334
Tolima,221845
Unknown,≤100
Valle del Cauca,1441255
Vaupes,530
Vichada,995
