Location name,Amount spent (BRL)
Acre (state),277
Alagoas,943
Amapá,332
Amazonas,2653
Bahia,4738
Ceará,3327
Espírito Santo,1573
Federal District,2953
Goiás,3030
Maranhão,2291
Mato Grosso,1816
Mato Grosso do Sul,1643
Minas Gerais,9749
Paraná,5760
Paraíba,1425
Pará,2839
Pernambuco,3887
Piauí,1119
Rio Grande do Norte,1797
Rio Grande do Sul,6066
Rio de Janeiro (state),8389
Rondônia,735
Roraima,429
Santa Catarina,3876
Sergipe,1070
São Paulo (state),25082
Tocantins,595
Unknown,≤100
