Location name,Amount spent (COP)
Amazonas,602
Antioquia,5218082
Arauca,86039
Atlantico,916302
Bolivar,171705
Boyaca,145984
Caldas,940730
Caqueta,28503
Casanare,33393
Cauca,158119
Cesar,84186
Choco,52099
Cordoba,199535
Cundinamarca,358984
Distrito Especial,1788131
Guainia,457
Guaviare,15939
Huila,156170
La Guajira,55310
Magdalena,71472
Meta,227375
Narino,51223
Norte de Santander,281976
Putumayo,37582
Quindio,135171
Risaralda,908743
San Andres y Providencia,8907
Santander,168877
Sucre,61920
Tolima,226555
Unknown,116
Valle del Cauca,2815703
Vaupes,141
Vichada,252
