Location name,Amount spent (RON)
Alba County,1097
Arad County,837
Argeș County,1403
Bacău County,1422
Bihor County,1052
Bistrița-Năsăud County,474
Botoșani County,690
Brașov County,1533
Brăila County,583
Bucharest,6295
Buzău County,879
Caraș-Severin County,578
Cluj County,2138
Constanța County,1415
Covasna County,375
Călărași County,399
Dolj County,1161
Dâmbovița County,742
Galați County,1177
Giurgiu County,303
Gorj County,744
Harghita County,522
Hunedoara County,1026
Ialomița County,327
Iași County,2704
Ilfov County,776
Maramureș County,906
Mehedinți County,593
Mureș County,1058
Neamț County,984
Olt County,498
Prahova County,1720
Satu Mare County,936
Sibiu County,797
Suceava County,1083
Sălaj County,349
Teleorman County,551
Timiș County,1833
Tulcea County,331
Unknown,≤100
Vaslui County,544
Vrancea County,863
Vâlcea County,640
