Location name,Amount spent (MXN)
Aguascalientes,10451
Baja California,18249
Baja California Sur,3024
Campeche,3057
Chiapas,8767
Chihuahua,12403
Coahuila de Zaragoza,120130
Colima,9272
Distrito Federal,91828
Durango,4770
Guanajuato,35038
Guerrero,6126
Hidalgo,5946
Jalisco,204952
Michoacán de Ocampo,14914
Morelos,8313
Nayarit,3320
Nuevo León,57654
Oaxaca,7962
Puebla,17716
Querétaro Arteaga,13092
Quintana Roo,16373
San Luis Potosi,10094
Sinaloa,13063
Sonora,13867
State of Mexico,64607
Tabasco,7461
Tamaulipas,7708
Tlaxcala,2435
Unknown,≤100
Veracruz,21976
Yucatán,20392
Zacatecas,4264
