Location name,Amount spent (DKK)
Capital Region of Denmark,79520
Central Denmark Region,30100
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14302
Region of Southern Denmark,28477
Unknown,≤100
Zealand Region,18457
