Location name,Amount spent (HUF)
Baranya County,115374
Borsod-Abaúj-Zemplén County,163203
Budapest,627048
Bács-Kiskun County,150469
Békés County,92646
Csongrád County,119243
Fejér County,126569
Győr-Moson-Sopron County,139245
Hajdú-Bihar County,154634
Heves County,82875
Jász-Nagykun-Szolnok County,112688
Komárom-Esztergom County,91894
Nógrád County,47037
Pest County,355214
Somogy County,76160
Szabolcs-Szatmár-Bereg County,150897
Tolna County,61441
Unknown,≤100
Vas County,76373
Veszprém County,97369
Zala County,84237
