Location name,Amount spent (AUD)
Australian Capital Territory,3229
Jervis Bay Territory,≤100
New South Wales,31514
Northern Territory,818
Queensland,28805
South Australia,10931
Tasmania,2605
Unknown,≤100
Victoria,28585
Western Australia,14326
