Location name,Amount spent (RON)
Alba County,474
Arad County,758
Argeș County,1230
Bacău County,753
Bihor County,757
Bistrița-Năsăud County,411
Botoșani County,526
Brașov County,628
Brăila County,404
Bucharest,2939
Buzău County,558
Caraș-Severin County,370
Cluj County,1340
Constanța County,845
Covasna County,260
Călărași County,311
Dolj County,911
Dâmbovița County,562
Galați County,754
Giurgiu County,267
Gorj County,522
Harghita County,431
Hunedoara County,594
Ialomița County,270
Iași County,1755
Ilfov County,361
Maramureș County,651
Mehedinți County,390
Mureș County,737
Neamț County,626
Olt County,428
Prahova County,846
Satu Mare County,563
Sibiu County,489
Suceava County,815
Sălaj County,345
Teleorman County,364
Timiș County,845
Tulcea County,239
Unknown,≤100
Vaslui County,423
Vrancea County,644
Vâlcea County,460
