Location name,Amount spent (JPY)
Aichi Prefecture,9985
Akita Prefecture,1163
Aomori Prefecture,1861
Chiba Prefecture,10615
Ehime Prefecture,1370
Fukui Prefecture,971
Fukuoka Prefecture,33682
Fukushima Prefecture,2378
Gifu Prefecture,2469
Gunma Prefecture,2291
Hiroshima Prefecture,5503
Hokkaido,7982
Hyōgo Prefecture,7843
Ibaraki Prefecture,4256
Ishikawa Prefecture,1543
Iwate Prefecture,1100
Kagawa Prefecture,1547
Kagoshima Prefecture,4425
Kanagawa Prefecture,19461
Kumamoto Prefecture,5160
Kyoto Prefecture,4764
Kōchi Prefecture,913
Mie Prefecture,2210
Miyagi Prefecture,7724
Miyazaki Prefecture,1120
Nagano Prefecture,2667
Nagasaki Prefecture,2927
Nara Prefecture,2168
Niigata Prefecture,2216
Okayama Prefecture,2163
Okinawa Prefecture,3502
Osaka Prefecture,13640
Saga Prefecture,2579
Saitama Prefecture,11647
Shiga Prefecture,1705
Shimane Prefecture,844
Shizuoka Prefecture,4394
Tochigi Prefecture,2316
Tokushima Prefecture,1139
Tokyo,40418
Tottori Prefecture,832
Toyama Prefecture,1172
Unknown,≤100
Wakayama Prefecture,1154
Yamagata Prefecture,1738
Yamaguchi Prefecture,1382
Yamanashi Prefecture,1204
Ōita Prefecture,2562
