Location name,Amount spent (EGP)
Al Sharqia Governorate,2291
Alexandria Governorate,1264
Aswan Governorate,228
Asyut Governorate,477
Beheira Governorate,875
Beni Suef Governorate,344
Cairo Governorate,4496
Dakahlia Governorate,1468
Damietta Governorate,439
Faiyum Governorate,384
Gharbia Governorate,1121
Giza Governorate,1446
Ismailia Governorate,514
Kafr el-Sheikh Governorate,722
Luxor Governorate,166
Matrouh Governorate,105
Minya Governorate,611
Monufia Governorate,649
New Valley Governorate,≤100
North Sinai Governorate,113
Port Said Governorate,329
Qalyubia Governorate,806
Qena Governorate,379
Red Sea Governorate,124
Sohag Governorate,527
South Sinai Governorate,≤100
Suez Governorate,187
Unknown,≤100
