Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,10286,46
67571270393,Red Barnet,Red Barnet,9726,19
399210657232918,PlanBørnefonden,PlanBørnefonden,7506,35
65929129383,Røde Kors,Røde Kors,6878,32
250994288337708,Sex og Samfund,Sex og Samfund,5802,23
59143726810,Psykiatrifonden,Psykiatrifonden,5742,5
111064405631701,nemlig.com,nemlig.com,3835,8
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,3255,40
123653695693986,Motatos Danmark,Motatos,3030,9
26458152911,SOS Børnebyerne,SOS Børnebyerne,2955,16
12860228293,Politiken,Politiken,2645,18
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,2610,39
12787473132,Berlingske,Berlingske,2319,29
748887235210811,Obton Forvaltning A/S,Obton A/S,2280,11
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,2271,26
159000594147871,Mary Fonden,Mary Fonden,2163,8
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,1905,46
106468772046278,Project Greensand,Project Greensand,1882,14
63691965101,UNICEF Danmark,UNICEF Danmark,1674,4
102154048301476,Lederstof.dk,Lederne,1167,24
342716189117135,Sparekassen Danmark,Sparekassen Danmark,1116,2
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,1082,21
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,1068,2
304554445813,Videncentret Bolius,Videncentret Bolius,1042,11
676061179094769,Alternativet,Alternativet,1040,2
133707013355759,Danner,Danner,981,1
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,976,8
55365680705,Greenpeace Danmark,Greenpeace Danmark,972,16
287306323369,Børnecancerfonden,Børnecancerfonden,924,4
17428770950,RÆSON,Clement Kjersgaard,800,1
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,778,12
867877683280051,Weekendavisen,Weekendavisen,775,19
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,759,6
126543540781090,Ældre Sagen,Ældre Sagen,755,19
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,746,3
125934997444897,SuperBrugsen,Coop,719,1
304554445813,Videncentret Bolius,Bolius,701,3
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,620,6
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,595,3
246977185497434,Plastic Change,Plastic Change,585,25
66328502645,Dagbladet Information,Dagbladet Information,565,1
22030968736,Anima,Anima,563,1
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,484,3
110560691837684,SolCompagniet,SolCompagniet,436,1
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,417,25
314676938743,DM din akademiske fagforening,DM,368,13
220361474643059,Arla,Arla,328,12
105511328705392,HØRT,Børns Vilkår,309,4
256887120082,EDC,These ads ran without a disclaimer,303,1
166984636671085,Dansk Metal,Dansk Metal,296,1
106185013241,GirlTalk,GirlTalk.dk,295,1
132344416862423,FOA,FOA,289,1
36664432940,Amnesty International Danmark,Amnesty Danmark,285,15
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,278,7
1704424023182897,Politiken Historie,Politiken Historie,273,15
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,259,2
191492900934553,"Louise Schelde Frederiksen - Jurist og Lektor, cand.jur","Louise Schelde Frederiksen - Jurist og Lektor, cand.jur",258,1
188067981214220,Forskningens Døgn,Uddannelses- og Forskningsministeriet,250,1
110953988146557,Mads Samsing,HK Danmark,242,3
145392175531068,JydskeVestkysten,JydskeVestkysten,238,1
246097715413231,Alkohol & Samfund,Alkohol & Samfund,237,10
101875098313543,Andel,These ads ran without a disclaimer,221,5
2319925761607995,Radio4,RADIO FM4 A/S,221,2
1724068710936501,Anja C Jensen,HK Danmark,204,2
186645960378,Danwatch,Danwatch,197,5
72672361910,Børns Vilkår,Børns Vilkår,194,4
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,179,6
106298611945296,Højskolen Grobund,Jonas Hagen Høj,176,3
293266234170207,Line Krogh Lay - politik,Lay Line Krogh,172,1
852608988134698,Tikko,Tikko,169,2
437410226312057,Københavns Kommune,Københavns Kommune,160,3
426710364116751,Kvæg,Landbrug & Fødevarer F.m.b.A. SEGES,152,1
144073492279043,Teatret Svalegangen,Teatret Svalegangen,150,8
109832114803166,Videnskabsår22,Videnskabsår22 c/o Videnskabernes Selskab,147,3
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,137,1
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,123,3
182121298931589,Odense Kommune,Odense Kommune,122,2
101248435485457,Frihedsbrevet,Mediehuset Friheden,118,2
12390252419,Region Nordjylland,Region Nordjylland,113,3
494902077334290,Tuborgfondet,Tuborgfondet,113,7
104544224264943,3F Transport,3F Transport,113,1
459641371068935,Forenet Kredit,Forenet Kredit,110,1
1822254634537356,Nye tider,Nyetider.nu,107,2
247490665291060,Det Kgl. Bibliotek,Det Kgl. Bibliotek,106,1
217135424459,Karen Blixen Museum,Karen Blixen Museum,≤100,4
161708011540,Mads Duedahl,Venstre i Nordjylland,≤100,18
281457390200,Nørrebro Teater,Nørrebro Teater,≤100,5
181330585392156,Skattestyrelsen,Skattestyrelsen,≤100,1
111210480291603,European Youth International,These ads ran without a disclaimer,≤100,12
336333896418452,Assens Kommune,Assens Kommune,≤100,4
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100,3
1534982756793690,Foodvisor,These ads ran without a disclaimer,≤100,3
193407584012015,Århundredets Festival,Folkeuniversitetet i Aarhus,≤100,2
341299649231023,Zetland,Zetland,≤100,2
129940943738051,Odense ser Rødt,Odense ser Rødt,≤100,3
87468072466,Copenhagen Pride,Copenhagen Pride,≤100,2
188421071180777,Vejle Amts Folkeblad,Vejle Amts Folkeblad,≤100,1
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100,2
820070458166704,Nicolai Sandager - Liberal Alliance,Nicolai Sandager,≤100,1
180026862906365,FrokostDebatten,Andersen Mikkel Zøllner,≤100,1
145194885519706,Kulturværftet,Kulturværftet,≤100,1
100913339248794,"Alt det vi ikke siger højt, plus det løse - af Kristina Klindt","Alt det vi ikke siger højt, plus det løse - af Kristina Klindt",≤100,1
622795374413773,Venstre i Favrskov,Venstre i Favrskov Kommune,≤100,1
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,≤100,2
1575778185971300,Alayn - Almennyttig Fond,Alayn Almennyttig Fond,≤100,1
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,≤100,1
329236874385098,Marianne Vind,These ads ran without a disclaimer,≤100,1
109261517088528,Fremstillingsindustrien,Marie Thorsø Kousgaard,≤100,3
1522666927799763,BCG in Denmark,Boston Consulting Group,≤100,4
100416662311928,Vid&Sans,Tore Bonnerup,≤100,1
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,≤100,4
253132104886911,Kvisten,Kvisten,≤100,1
294264660289,DGI Storkøbenhavn,DGI Storkøbenhavn,≤100,1
612365422186892,Rebild Kommune,Rebild Kommune,≤100,1
149388638416537,Riddersalen,Teatret Riddersalen,≤100,1
100263786205970,Job i Altiden Ekko,Altiden Ekko,≤100,2
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,≤100,1
111544458061503,TimeVision - En del af TimeGruppen,TimeVision Godkendt Revisionspartnerselskab,≤100,4
202754879788353,Radikal Ungdom,Radikal Ungdom,≤100,1
109440254274204,Sara Darling Jørgensen,SF,≤100,1
441052046074646,Peter Kay Mortensen blog,Mortensen Peter Kay,≤100,1
103276942425086,Lars Høyer Holmqvist - Liberal Alliance,Lars Hoyer Holmqvist,≤100,1
438345126314990,Socialdemokratiet  i Kalundborg,Lars Mortensen,≤100,1
334571029981175,DM og MA studerende,DM,≤100,1
283258882114222,Peter Wagner Mollerup - Byrådsmedlem i Nyborg kommune,Peter Mollerup,≤100,2
123114457761430,Valby Lokaludvalg,Valby Lokaludvalg,≤100,1
102472071927163,Simon Bauer,Simon Bauer,≤100,2
153708144675646,PFA,PFA,≤100,1
294885907302040,AdResult - Vi skaber online resultater,AdResult ApS,≤100,5
154415494575789,IDA,IDA,≤100,2
1316605178447290,Christopher Trung,Christopher Trung Paulsen,≤100,2
356590264357569,Palæstinaorientering,Ole Olsen,≤100,1
703543806324512,Vi-partiet,Larsen Thomas,≤100,1
104588595329534,Et Samlet Egedal,JOHAN-BENJAMIN SPENDRUP HAHN,≤100,1
111902564485238,Jes Halfdan - Nye Borgerlige,Jes Halfdan Nielsen,≤100,1
192783424152018,Socialistisk Information,Leif Mikkelsen,≤100,1
796255540533364,Hanne Bjørn,Hanne Bjørn,≤100,1
415341115213431,Intact Denmark - Forening mod omskæring af børn,Intact Denmark - Forening mod omskæring af børn,≤100,1
130388840342741,Danske Bank,Danske Bank,≤100,5
315126268991751,Camilla Fabricius,Camilla Fabricius,≤100,1
109252350463401,Træ i Byggeriet,Træ i Byggeriet,≤100,1
107575374711850,SAGA DK,Saga,≤100,1
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,≤100,1
556916614320900,Konservative i Ringsted,Konservative i Ringsted,≤100,1
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Doberck,≤100,1
378400486022108,Kafé Kloden,Harriet Jensen,≤100,2
432787093423751,HK MidtVest,These ads ran without a disclaimer,≤100,1
1541220236121470,Katarina Ammitzbøll,Katarina Ammitzboell,≤100,1
163693837526135,Ann Lindhardt,Lindhardt Ann Lindgren,≤100,1
271491613260426,Gang I Glostrup,Det Konservative Folkeparti i Glostrup,≤100,1
104935758853057,Kim Alexander Jensen - Liberal Alliance,Kim Alexander Lykke Jensen,≤100,1
207100394675252,Steffen Peter Hansen,Steffen Peter Mackeith Borup Hansen,≤100,1
113404303636800,With Love Darling Denmark,These ads ran without a disclaimer,≤100,5
101491259185540,Marianne Lynghøj,Marianne Lynghoj Pedersen,≤100,1
635283260257377,Süleyman Yücel - Venstre,Süleyman Yücel,≤100,1
147547541961576,Council of the European Union,Council of the European Union,≤100,5
137990456269928,Ole Jakobsen - den utraditionelle,Ole Jakobsen,≤100,1
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,≤100,3
116494911036001,Foody.dk,These ads ran without a disclaimer,≤100,1
104080038702172,Emil Ulrik Andersen,Enhedslisten Allerød,≤100,1
103152155935703,naderahparwani,These ads ran without a disclaimer,≤100,1
178362315106,European Parliament,European Parliament,≤100,11
1928041784076130,Mikkel Skovby - A,These ads ran without a disclaimer,≤100,1
