Location name,Amount spent (EGP)
Al Sharqia Governorate,937
Alexandria Governorate,678
Aswan Governorate,104
Asyut Governorate,299
Beheira Governorate,424
Beni Suef Governorate,148
Cairo Governorate,2400
Dakahlia Governorate,631
Damietta Governorate,154
Faiyum Governorate,244
Gharbia Governorate,490
Giza Governorate,649
Ismailia Governorate,104
Kafr el-Sheikh Governorate,530
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,532
Monufia Governorate,391
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,180
Qalyubia Governorate,816
Qena Governorate,177
Red Sea Governorate,125
Sohag Governorate,1116
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
