Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,27431,8
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",12678,30
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,5392,20
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3546,12
251656685576,KDU-ČSL,KDU-ČSL,2416,11
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,2133,4
1469427909957890,Reportér magazín,Reportér magazín,2028,4
197010357446014,Ondřej Prokop,Ondrej Prokop,1946,2
356451014434612,Marian Jurečka,KDU-ČSL,1718,10
267751653384029,Pardubický kraj,Pardubický kraj,1655,3
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,1490,7
107898832590939,European Commission,European Commission,1481,4
90002267161,TOP 09,TOP 09,1406,3
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1387,4
111041662264882,ČSSD,ČSSD,1203,2
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1168,4
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,953,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,904,6
108537032055709,Meta,These ads ran without a disclaimer,833,1
192011067504855,Do práce na kole - AutoMat,"AutoMat, z.s.",832,3
361281313901258,Komerční banka,"Komerční banka, a.s.",760,1
104713545735871,Kamar,These ads ran without a disclaimer,758,4
100843142503124,ZjistiVíc.cz,Zjisti víc,747,1
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,674,8
378827025796132,Peak.cz,Peak.cz,667,11
112832651308203,Stejná odměna,Česká rada sociálních služeb,647,8
495496033796328,Stanislav Blaha,Stanislav Blaha,620,7
133030253410089,Jan Šafařík - náměstek hejtmana,Jan Šafařík,600,3
106455438982920,Back Legal,These ads ran without a disclaimer,596,3
282765711734893,Piráti Moravskoslezský kraj,Dedek Jakub,593,7
100201752249169,Spolu21,Občanská demokratická strana,581,2
139379141293,Paměť národa,"Post Bellum, z.ú.",578,6
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,576,20
693725074166331,Naše zdravotnictví,Naše zdravotnictví,535,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,522,3
2092588267635432,Cena Gratias Tibi,"Člověk v tísni, o.p.s.",505,2
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",503,6
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,486,4
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,475,2
315972808450196,ČSOB,ČSOB,463,1
109787574497667,Aliance pro budoucnost,Aliance pro budoucnost,460,1
101722985492419,Klára Kocmanová,Česká pirátská strana,450,1
169065407139584,Tilt,European Greens,442,9
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,417,7
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,384,2
52479821102,Týdeník Respekt,Týdeník Respekt,366,5
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,347,2
101571722521084,Prahajede.cz,Magistrát hl. města Prahy,336,1
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,335,6
178362315106,European Parliament,European Parliament,335,8
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,326,3
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,308,1
180888668609092,Datlab,Datlab s.r.o.,303,1
206045673805,Deník.cz,VLTAVA LABE MEDIA a.s.,290,3
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,283,4
154228456802,Divadlo v Řeznické,"Divadlo v Řeznické, o. p. s.",281,2
117823623864,Transparency International ČR,Transparency International ČR,279,4
424114981002397,Český rozhlas Plus,Český rozhlas,273,19
367656464950,TOP 09 - Praha 10,TOP 09 - Praha 10,273,1
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,270,5
397919187215,Evropská komise v ČR,Evropská komise v ČR,269,1
210778132327279,Prima,Prima,253,1
101954531415600,Lukáš Vlček • STAN,Starostové a nezávislí,241,1
214827221987263,Andrej Babiš,Andrej Babiš,236,3
58864692622,Český rozhlas Vltava,Český rozhlas,229,2
113743658978459,Meltingpot,Meltingpot,229,7
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,218,1
242117635912490,ODS - Plzeňský kraj,Občanská demokratická strana,215,4
369035059843617,REMAX Delux,Tomáš Šimek,212,5
113322746709049,Karel Havlíček,ANO,210,1
578342809023884,Jsme fér,Prague Pride,206,1
123858471641,iROZHLAS.cz,Český rozhlas,205,2
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",204,2
137301989386,Aktuálně.cz,Aktuálně.cz,204,2
321762510282,Michal Kučera,Michal Kučera,196,5
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,192,2
246136392205579,Ekomrcha,SH Media,177,1
102368582415300,Hnutí za levnější vodu v Protivíně,"PRodukujeme, s. r. o.",174,6
745225392241191,Primagas Česká republika,PRIMAGAS s.r.o.,173,1
273367223021327,Veronika Vrecionová,Veronika Vrecionová,172,1
104940818596176,Akordy Václava Hnátka,Michaela Kaufmanová,170,2
108342850697974,Hejtman Josef Suchánek,Starostové a nezávislí • STAN,170,2
257529307701966,Jiří Pospíšil,TOP 09,168,3
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,168,13
1533965953549869,Jaroslav Demčák,These ads ran without a disclaimer,167,1
421423394666782,Aleš Dufek,KDU-ČSL,165,6
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,165,4
370302013674124,Tvořivá Společnost,These ads ran without a disclaimer,163,1
127825910704640,Bosch Česká republika,These ads ran without a disclaimer,158,3
125830487980906,Solární asociace,Solární asociace,155,2
307333759374560,Česká národní banka,Česká národní banka,152,1
343987063337791,CyberBlog,Cyber Security Solutions s.r.o.,151,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,149,1
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,148,3
460558621177512,Zálohujme.cz,Zálohujme,145,1
694807680694998,Forum 24,These ads ran without a disclaimer,142,1
854959704597423,Seduo.cz,These ads ran without a disclaimer,141,1
101720818609240,Vlna pomoci,"Vlna pomoci, z. s.",137,3
1060889564019324,Tomáš Prouza,Commpanions,132,1
101279652413889,SPOLU pro Prahu,SPOLU Praha,131,1
440782776395359,Hradišťáci,Michal Dvouletý,129,1
192926034666717,Václav Pláteník,Václav Pláteník,129,3
108256752103532,Josef Soumar - místostarosta Písku,Josef Soumar - místostarosta Písku,129,1
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková,127,1
132557694194,Historický Úštěk,These ads ran without a disclaimer,127,1
711658465662315,XTV,XTV,126,8
205472656316937,Třebíč Občanům,Jaromír Barák,124,1
287724754662359,HateFree Culture,HateFree Culture,123,3
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,121,1
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,117,2
549351855145794,Michael Kohajda,Michael Kohajda,115,2
632583553444632,Piráti Havířov,Dedek Jakub,115,2
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",107,1
350399975110519,Studentská sekce IIPS,Studentská sekce IIPS,107,1
147616362600631,Volím Tachov,Matouš Horáček,106,1
110208494972750,"Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko",KDU-ČSL,106,4
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš,≤100,3
100828246163268,Find Refuge,These ads ran without a disclaimer,≤100,1
