Location name,Amount spent (DKK)
Capital Region of Denmark,26843
Central Denmark Region,12988
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5587
Region of Southern Denmark,11867
Unknown,≤100
Zealand Region,7871
