Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,3250000
Apure,250000
Aragua,4750000
Barinas,3235001
Bolívar (state),3470001
Capital District,7790471
Carabobo,5881126
Cojedes,250000
Delta Amacuro,≤100
Falcón,1057500
Guárico,250000
Lara,4582501
Miranda (state),3507501
Monagas,1142500
Mérida,2627500
Nueva Esparta,870000
Portuguesa,1000000
Sucre,2250000
Trujillo,470000
Táchira,5652501
Vargas,1000000
Yaracuy,1750000
Zulia,10000000
