Location name,Amount spent (TND)
Ariana Governorate,113
Ben Arous Governorate,169
Bizerte Governorate,143
Béja Governorate,≤100
Gabès Governorate,121
Gafsa Governorate,≤100
Jendouba Governorate,≤100
Kairouan Governorate,101
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,≤100
Manouba Governorate,≤100
Medenine Governorate,167
Monastir Governorate,207
Nabeul Governorate,282
Sfax,334
Sidi Bouzid Governorate,≤100
Siliana Governorate,≤100
Sousse Governorate,220
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,447
Unknown,≤100
Zaghouan Governorate,≤100
