Location name,Amount spent (AUD)
Australian Capital Territory,1068
Jervis Bay Territory,≤100
New South Wales,15301
Northern Territory,526
Queensland,13285
South Australia,4781
Tasmania,3702
Unknown,≤100
Victoria,14431
Western Australia,7306
