Location name,Amount spent (DKK)
Capital Region of Denmark,35357
Central Denmark Region,17443
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7616
Region of Southern Denmark,15989
Unknown,≤100
Zealand Region,12980
