Location name,Amount spent (NZD)
Auckland Region,2096
Bay of Plenty Region,387
Canterbury,739
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,236
Manawatu-Wanganui,351
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,217
Otago,281
Southland,115
Taranaki,160
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,595
Wellington Region,633
West Coast,≤100
