Location name,Amount spent (HUF)
Baranya County,77655
Borsod-Abaúj-Zemplén County,110232
Budapest,486607
Bács-Kiskun County,93641
Békés County,70416
Csongrád County,112130
Fejér County,84111
Győr-Moson-Sopron County,88839
Hajdú-Bihar County,93180
Heves County,55668
Jász-Nagykun-Szolnok County,68006
Komárom-Esztergom County,56587
Nógrád County,30870
Pest County,197390
Somogy County,53084
Szabolcs-Szatmár-Bereg County,88802
Tolna County,41441
Unknown,≤100
Vas County,63538
Veszprém County,62269
Zala County,56738
