Location name,Amount spent (PKR)
Azad Kashmir,1191
Balochistan,2006
Federally Administered Tribal Areas,416
Gilgit-Baltistan,610
Islamabad Capital Territory,2657
Khyber Pakhtunkhwa,11175
Punjab,52077
Sindh,16849
Unknown,≤100
