Location name,Amount spent (INR)
Andaman and Nicobar Islands,226
Andhra Pradesh,101209
Arunachal Pradesh,703
Assam,26721
Bihar,82040
Chandigarh,2403
Chhattisgarh,29311
Dadra and Nagar Haveli,691
Delhi,48530
Goa,2131
Gujarat,47012
Haryana,35037
Himachal Pradesh,12713
Jammu and Kashmir,8775
Jharkhand,22808
Karnataka,220097
Kerala,12060
Lakshadweep,≤100
Madhya Pradesh,67538
Maharashtra,145951
Manipur,2328
Meghalaya,471847
Mizoram,496
Nagaland,180285
Odisha,12804
Puducherry,1020
Punjab region,33296
Rajasthan,108826
Sikkim,655
Tamil Nadu,45328
Telangana,73390
Tripura,2528
Unknown,≤100
Uttar Pradesh,99048
Uttarakhand,11569
West Bengal,41167
