Location name,Amount spent (CLP)
Antofagasta Region,111033
Araucanía Region,179083
Arica y Parinacota Region,48802
Atacama Region,41999
Aysén Region,161635
Bío Bío Region,384404
Coquimbo Region,167898
Los Lagos Region,1254532
Los Ríos Region,64579
Magallanes y la Antártica Chilena Region,277338
Maule Region,142873
O'Higgins Region,153525
Santiago Metropolitan Region,2928172
Tarapacá Region,66782
Unknown,484
Valparaíso Region,645746
