Location name,Amount spent (CHF)
Aargau,292
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,125
Basel-Landschaft,≤100
Bern,246
Canton of Geneva,3117
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,138
Fribourg,134
Graubünden,≤100
Jura,≤100
Luzern,4330
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,1501
Unknown,≤100
Uri,≤100
Valais,130
Vaud,387
Zug,≤100
Zürich,479
