Location name,Amount spent (ZAR)
Eastern Cape,766
Free State,497
Gauteng,4190
KwaZulu-Natal,1182
Limpopo,293
Mpumalanga,309
North West,262
Northern Cape,118
Unknown,≤100
Western Cape,16643
