Location name,Amount spent (DKK)
Capital Region of Denmark,67237
Central Denmark Region,34868
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14590
Region of Southern Denmark,29198
Unknown,≤100
Zealand Region,20214
