Location name,Amount spent (PYG)
Alto Paraguay Department,205915
Alto Paraná Department,15305233
Amambay Department,1607625
Asunción,14876141
Boquerón department,587569
Caaguazú Department,5319106
Caazapá Department,1492612
Canindeyú Department,1439163
Central Department,37342337
Concepción Department (Paraguay),1680631
Cordillera Department,2909962
Guairá Department,1797942
Itapúa Department,7678963
Misiones Department,1698594
Paraguarí Department,1658192
Presidente Hayes Department,993166
San Pedro Department,1908601
Unknown,4777
Ñeembucú Department,1350634
