Location name,Amount spent (DKK)
Capital Region of Denmark,36579
Central Denmark Region,21039
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9305
Region of Southern Denmark,19155
Unknown,≤100
Zealand Region,12243
