Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
102802955817933,Centralna izborna komisija Bosne i Hercegovine,Centralna izborna komisija Bosne i Hercegovine,338,6
1922268018023038,Raskrinkavanje,UG Zašto ne,113,14
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100,5
112724472142155,Pomak Bihać,Pokret za Modernu i Aktivnu Krajinu POMAK,≤100,4
197596636939679,tacno.net,Tacno.net,≤100,4
417853371621843,Mirnes Ajanović za gradonačelnika Tuzle,Mirnes Ajanović,≤100,16
1175187435840080,SDP Bihać,SDP Bihać,≤100,4
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100,4
753740401664958,Omer Berbić - kandidat za gradonačelnika Tuzle,Omer Berbic,≤100,4
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100,3
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100,6
111544041335161,Antikorupcija info,Antikorupcija.info,≤100,9
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100,6
1494057107558990,Javna rasprava,Javna rasprava,≤100,13
111544041335161,Antikorupcija info,Antikorupcija info,≤100,8
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,≤100,1
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100,3
147315858633088,Istinomjer,Istinomjer,≤100,7
1547105272188915,Elvedin Sedić,Elvedin Sedić,≤100,1
109652028193268,Revizije info,Revizije info,≤100,4
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100,4
102343781660824,Ajdin Holjan,Ajdin Holjan,≤100,1
2401351939921390,Raport.ba,Raport Media Group,≤100,1
163080080447411,Републичка странка Српске,Filip Lučić,≤100,2
106099145362821,Goražde bez pesticida,Harun  Bešlija,≤100,2
230925323921716,Naš Bihac,Amir Kamy Kulenovic,≤100,2
1448893352065916,GO SDP BiH Tuzla,GO SDP Tuzla,≤100,2
2430163100537312,Spin Info,Spin Media,≤100,1
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,≤100,1
101820526552763,Biscani.net,Biscani.net,≤100,2
735128353212519,Futsal Dinamo,These ads ran without a disclaimer,≤100,2
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100,1
497073450426490,BH novinari,These ads ran without a disclaimer,≤100,1
1607622842896752,interview.ba,Fondacija Infohuse,≤100,1
1407894932868655,Omladinski Pokret Revolt,Omladinski pokret Revolt,≤100,2
628806173978483,CAT Bosna i Hercegovina,These ads ran without a disclaimer,≤100,1
643292402782168,PDP Banja Luka - ПДП Бања Лука,These ads ran without a disclaimer,≤100,1
104250978660291,ycmchallenge,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
110279758515616,3addedminutes,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
1469312633302595,GRUPO BNBC - Centro Integrado de Negócios,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
661242403997082,Trust Group - Гражданство ЕС,These ads ran without a disclaimer,≤100,1
