Location name,Amount spent (IDR)
Aceh,6034369
Bali,2961704
Bangka–Belitung Islands,618658
Banten,12140956
Bengkulu,1090398
Central Java,31848792
Central Kalimantan,1152356
Central Sulawesi,1702035
East Java,30859223
East Kalimantan,2176339
East Nusa Tenggara,5361641
Gorontalo,916877
Jakarta,21230035
Jambi,1679943
Lampung,12113047
Maluku,3413915
North Kalimantan,572786
North Maluku,594533
North Sulawesi,6763579
North Sumatra,9516834
Papua (province),1003103
Riau,2957969
Riau Islands Province,1302305
South Kalimantan,1628188
South Sulawesi,9919597
South Sumatra,11824033
Southeast Sulawesi,1188434
Special Region of Yogyakarta,1950817
Unknown,21668
West Java,30329247
West Kalimantan,4356135
West Nusa Tenggara,3760317
West Papua,527773
West Sulawesi,687291
West Sumatra,4859315
