Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
102377305543409,AITC Meghalaya,Indian Political Action Committee,116679,133
986478178136878,BJP Tripura,Bharatiya Janata Party,103280,73
104516512296314,Kartikeya Sharma,Adv Tech,88392,63
953600271404690,BJP Meghalaya,Bharatiya Janata Party,59569,136
404746486258732,Project Nanhi Kali,Project Nanhi Kali,43274,24
326102339565,Oxfam India,Oxfam India,35472,14
1549125462051884,BQPrime,Bloomberg Quint,31405,8
652657388214939,BJP Nagaland,Bharatiya Janata Party (BJP),30310,60
107395897271506,Kutumb,Swatantra Verma,23795,30
426954117660096,Indian National Congress - Tripura,Indian National Congress - Tripura,22839,39
105671775473178,Jan Suraaj,Jan Suraaj,21092,67
804538566410307,Sudhindar Moond,Rohit Githala,20822,39
21169267101,Give,Give,18865,9
101512282514626,Pintu Sarkar,Pintu Sarkar,17007,33
324318854384715,Ganesh Bidkar,Mayur Rajendra Darekar,16952,2
104211439033799,Jagane Kavali,Jagane Kavali,12974,40
104356724540453,Naga People's Front - NPF,Naga People's Front - NPF,11322,3
112982334954590,Inferno Analytics,Inferno Analytics,10986,29
109986065209042,Mera Apna Rahul,MeraApnaRahul,10638,78
170484126349815,Indian Cancer Society,Indian Cancer Society,10605,4
568928239883450,The Times Of A Better India,The Times Of A Better India,10191,2
174283119250672,Save the Children India,Bal Raksha Bharat,10065,40
100626912687369,Kai Yerisi Karunadigagi - ಕೈ ಏರಿಸಿ ಕರುನಾಡಿಗಾಗಿ,Kai Yerisi  Karunadigagi,9483,61
442710802417591,Baljeet Yadav,Baljeet Yadav,9351,5
110115671863420,Kacche Din,Kacche Din,7979,10
107414168269023,Telangana Atma Gouravam,telanganaatmagouravam.com,7878,40
547354238619670,Dr. Ashwath Narayan,Vijay S,7817,4
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,7745,8
270666596375251,Jhatkaa.org,Jhatkaa.org,7545,36
30290552843,Greenpeace India,Greenpeace India Society,7257,39
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),6314,56
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,6286,33
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,6253,11
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,5931,45
109707661884154,Indian Compass,theindiancompass.com,5891,24
304563947108797,Kinder World - हिंदी,Kinder World - हिंदी,5834,3
118651501493980,We Support Swapnil Kothari Sir,We Support Swapnil Kothari Sir,5800,1
251971332383556,Yashveer Shoora,Mukesh Kumar Yadav,5788,8
520972198086866,BJP Punjab,Bharatiya Janata Party,5696,42
33497111948,Child Rights and You,Child Rights and You,5679,13
295405070641302,Balraj Kundu,Pankaj Sharma,5645,23
100593012792684,Keerthan Kumar,Keerthan Kumar,5420,5
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,5329,20
1954072204870360,NEWJ,Anant Bhardwaj,5236,6
219839024870824,Dr. Ramesh Chennamaneni,Dr. Ramesh Chennamaneni,5185,3
105383818950504,T Thimmegowda,Vijay S,5114,1
108861325372008,Bharat Bhagya Vidhata,BharatBhagyaVidhata,5060,10
1805911539637384,Jaaibir godara,Get E Ideas,4915,2
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,4724,7
113541631336757,Conman Conrad,Conman Conrad,4704,19
100833022847933,Skill Arbitrage,These ads ran without a disclaimer,4700,5
103782051383159,School of Politics,School of Politics,4651,26
107864648831408,Nammavar Kamal Haasan,Nammavar kamal hassan,4623,16
2078242259060363,Kukufm,Mohana Saha,4602,31
101538858448134,The Summer News,Gagandeep Singh,4538,11
104000639186504,Vivek Subba Reddy for Jayanagara,Vivek Subba Reddy for Jayanagara,4348,1
206756829376811,BJP Delhi,BJP Delhi,4271,42
544721985576852,"Tourism Department, Government of West Bengal",Digital Abhiyan,4267,2
100204332997540,5 Star Meghalaya,Design Boxed,4174,4
247698975430137,Basava Nadina Bhagiratha,Venkataramappa Ramesh,4132,5
107395897271506,Kutumb,Kutumb App,4045,4
941748002602952,Jagran Business,These ads ran without a disclaimer,3899,5
150106531736299,BJP West Bengal,Bharatiya Janata Party (BJP),3874,21
165714096933078,Piyush Goyal,Piyush Goyal,3791,2
669198336772807,Audible,These ads ran without a disclaimer,3589,1
109485930750665,Agni Herbbals,C Rajivkannu,3573,8
411129449009589,K.C. Venugopal,K.C.Venugopal,3556,9
107878575961821,Sukhbir Singh Badal,Shiromani Akali Dal,3527,4
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,3460,29
108366798238330,Haryana Affordable Housing Scheme,Arpit Mittal,3366,2
2131431707147401,AgriCentral,JIVA AGSERVICES PRIVATE LIMITED,3209,1
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,3162,16
104052753400618,Union Bank of India,Goldmine Advertising Limited,3161,5
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,3041,2
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,3040,4
260049638267608,Nisith Pramanik,Shivam  Sareen,3038,1
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,2998,10
102781925497507,Karpagam Hospital,Karpagam hospital,2995,12
505327936635830,Ashok Chandak,Coceptual Media,2915,35
106932525621052,T H Suresh Babu Followers,Bharath Raj,2777,2
113534787991473,তেইশে আবার বিজেপি সরকার,TeisheAbarBJPSarkaar.com,2755,12
108536391949423,जनसेवक मंच,Pankaj Sharma,2728,16
1393081727423694,Chandrupatla Sunil Reddy,Sunil Kumar Chandrupatla,2721,7
522943498076698,Amit Gorkhe,Amit Gorkhe,2663,3
101992622618186,Dr. MS Daddenavar,Dr. MS Daddenavar,2643,1
797536650260281,कात्रज विकास आघाडी,कात्रज विकास आघाडी,2636,4
100408622352310,Mohit Yadav,Mohit Yadav,2590,7
225469604484322,"GI Tagged - Geographical Indications, India",GiTAGGED,2524,3
1559211387686845,Log 9 Materials,Log 9 Materials Scientific Private Limited,2515,16
112503028387913,Dr. Manik Saha Fan Club,www.maniksahafanclub.com,2506,3
515733388449554,Sunil Parihar,Divyesh Parihar,2496,2
2610079412396734,Amaresh Rai,Amaresh Kumar Rai,2450,5
105509495777453,సాలు దొర సెలవు దొర,selavudora.com,2437,54
105209472211637,Voice of Andhra,Voice of Andhra,2398,11
101020012914374,Ramkishor Nano Kawre,Easy Social,2235,8
574023586326385,"Abhijit Wanjarri, MLC",Zaid Ahmed Khan,2190,4
114905439949088,Karuna Ashok Chandak,Coceptual Media,2178,25
671435682945456,Katepally Janardhan Reddy,Katepally Janardhan Reddy,2177,14
336824383413082,Punjab Aab Tak,These ads ran without a disclaimer,2176,1
334992293683612,Dr. Pramod Sawant,Dr. Pramod Sawant,2168,1
285029500623,CARE India,CARE India,2164,10
544920495569144,CP Joshi,CP Joshi,2152,10
1631595667106434,Priya Krishna,Priya Krishna,2110,2
319646115419636,Arnold Massar,Arnold Massar,2093,11
148415565260574,Schneider Electric,These ads ran without a disclaimer,2068,2
105747708080983,Rajeev Lochan Nishad,Himanshu Nishad,2061,1
107022325270259,Rahul Jha,Rahul Jha,2057,1
102754365335887,Udhay Anna,Udhay Anna,2056,8
101031682657397,Koppula Mahesh Reddy,K Mahesh Reddy,2043,2
224618077692752,Sanjay Tandon,Saraansh Tandon,2042,6
148931718592314,Tarun Chugh,Adv Tech,2039,2
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Ganesh Subhashrao Lomte,2034,6
189271178483352,Five Lotus Indo German,Five Lotus Indo German,2032,14
108122750692155,Dhanpal Suryanarayana,Dhanpal Surya Narayana,2028,1
545168122343271,S Muniraju,S Sendil Kumar,2019,5
132689140088396,smilefoundation,Smile Foundation,2012,5
100735178208398,Udyami India,Samadhan Samiti,2005,2
1785302198354679,Dr. Somendra Tomar,Somendra Singh,1999,6
321228061382932,Pt. Shekhar Dixit,Websofy Software Private Limited,1981,10
