Location name,Amount spent (JPY)
Aichi Prefecture,41422
Akita Prefecture,33381
Aomori Prefecture,2427
Chiba Prefecture,44246
Ehime Prefecture,4221
Fukui Prefecture,20536
Fukuoka Prefecture,106318
Fukushima Prefecture,3604
Gifu Prefecture,7594
Gunma Prefecture,14971
Hiroshima Prefecture,36311
Hokkaido,21857
Hyōgo Prefecture,30653
Ibaraki Prefecture,8054
Ishikawa Prefecture,4217
Iwate Prefecture,2907
Kagawa Prefecture,3939
Kagoshima Prefecture,9580
Kanagawa Prefecture,54565
Kumamoto Prefecture,11109
Kyoto Prefecture,16038
Kōchi Prefecture,1741
Mie Prefecture,6095
Miyagi Prefecture,11514
Miyazaki Prefecture,3551
Nagano Prefecture,13263
Nagasaki Prefecture,6845
Nara Prefecture,6560
Niigata Prefecture,5850
Okayama Prefecture,8655
Okinawa Prefecture,5069
Osaka Prefecture,173129
Saga Prefecture,3806
Saitama Prefecture,45811
Shiga Prefecture,22412
Shimane Prefecture,6156
Shizuoka Prefecture,11489
Tochigi Prefecture,31867
Tokushima Prefecture,2567
Tokyo,97970
Tottori Prefecture,858
Toyama Prefecture,3133
Unknown,≤100
Wakayama Prefecture,4301
Yamagata Prefecture,6229
Yamaguchi Prefecture,10416
Yamanashi Prefecture,2766
Ōita Prefecture,13840
