Location name,Amount spent (RON)
Alba County,623
Arad County,677
Argeș County,1074
Bacău County,1196
Bihor County,829
Bistrița-Năsăud County,572
Botoșani County,521
Brașov County,1244
Brăila County,428
Bucharest,5964
Buzău County,653
Caraș-Severin County,324
Cluj County,1773
Constanța County,1169
Covasna County,398
Călărași County,294
Dolj County,1043
Dâmbovița County,584
Galați County,1200
Giurgiu County,276
Gorj County,486
Harghita County,676
Hunedoara County,618
Ialomița County,278
Iași County,2181
Ilfov County,680
Maramureș County,724
Mehedinți County,296
Mureș County,1033
Neamț County,753
Olt County,368
Prahova County,1005
Satu Mare County,676
Sibiu County,728
Suceava County,798
Sălaj County,297
Teleorman County,376
Timiș County,1281
Tulcea County,276
Unknown,≤100
Vaslui County,381
Vrancea County,481
Vâlcea County,400
