Location name,Amount spent (ISK)
Capital Region,50285
Eastern Region,2128
Northeastern Region,5337
Northwestern Region,1046
Southern Peninsula,3712
Southern Region,4997
Unknown,≤100
Western Region,1231
Westfjords,1158
