Location name,Amount spent (PYG)
Alto Paraguay Department,137055
Alto Paraná Department,18251163
Amambay Department,1990245
Asunción,21418532
Boquerón department,727955
Caaguazú Department,6882651
Caazapá Department,1368618
Canindeyú Department,1703694
Central Department,53765454
Concepción Department (Paraguay),2230096
Cordillera Department,3911910
Guairá Department,2619923
Itapúa Department,11154519
Misiones Department,2297887
Paraguarí Department,1974485
Presidente Hayes Department,1278366
San Pedro Department,2460892
Unknown,12228
Ñeembucú Department,1525595
