Location name,Amount spent (PLN)
Greater Poland Voivodeship,5226
Kuyavian-Pomeranian Voivodeship,2958
Lesser Poland Voivodeship,4329
Lower Silesian Voivodeship,4835
Lublin Voivodeship,2784
Lubusz Voivodeship,1492
Masovian Voivodeship,9074
Opole Voivodeship,1619
Podkarpackie Voivodeship,1853
Podlaskie Voivodeship,1828
Pomeranian Voivodeship,3209
Silesian Voivodeship,6630
Unknown,≤100
Warmian-Masurian Voivodeship,2071
West Pomeranian Voivodeship,2708
Łódź Voivodeship,3609
Świętokrzyskie Voivodeship,1247
