Location name,Amount spent (JPY)
Aichi Prefecture,113950
Akita Prefecture,1427
Aomori Prefecture,1814
Chiba Prefecture,17248
Ehime Prefecture,2189
Fukui Prefecture,2560
Fukuoka Prefecture,26134
Fukushima Prefecture,2968
Gifu Prefecture,5509
Gunma Prefecture,5796
Hiroshima Prefecture,4933
Hokkaido,10984
Hyōgo Prefecture,19232
Ibaraki Prefecture,7710
Ishikawa Prefecture,3928
Iwate Prefecture,1808
Kagawa Prefecture,1704
Kagoshima Prefecture,4040
Kanagawa Prefecture,36137
Kumamoto Prefecture,4605
Kyoto Prefecture,10320
Kōchi Prefecture,1087
Mie Prefecture,5424
Miyagi Prefecture,10907
Miyazaki Prefecture,2743
Nagano Prefecture,3890
Nagasaki Prefecture,5469
Nara Prefecture,3896
Niigata Prefecture,5593
Okayama Prefecture,3801
Okinawa Prefecture,6087
Osaka Prefecture,85017
Saga Prefecture,2955
Saitama Prefecture,18921
Shiga Prefecture,4687
Shimane Prefecture,1182
Shizuoka Prefecture,10850
Tochigi Prefecture,4686
Tokushima Prefecture,1430
Tokyo,72593
Tottori Prefecture,817
Toyama Prefecture,2916
Unknown,≤100
Wakayama Prefecture,2520
Yamagata Prefecture,1692
Yamaguchi Prefecture,2894
Yamanashi Prefecture,2182
Ōita Prefecture,2807
