Location name,Amount spent (EGP)
Al Sharqia Governorate,2832
Alexandria Governorate,1341
Aswan Governorate,177
Asyut Governorate,450
Beheira Governorate,702
Beni Suef Governorate,324
Cairo Governorate,3680
Dakahlia Governorate,1273
Damietta Governorate,355
Faiyum Governorate,267
Gharbia Governorate,926
Giza Governorate,1555
Ismailia Governorate,598
Kafr el-Sheikh Governorate,561
Luxor Governorate,131
Matrouh Governorate,≤100
Minya Governorate,699
Monufia Governorate,651
New Valley Governorate,≤100
North Sinai Governorate,111
Port Said Governorate,356
Qalyubia Governorate,939
Qena Governorate,328
Red Sea Governorate,164
Sohag Governorate,557
South Sinai Governorate,≤100
Suez Governorate,139
Unknown,≤100
