Location name,Amount spent (BRL)
Acre (state),537
Alagoas,2009
Amapá,695
Amazonas,3160
Bahia,6823
Ceará,8280
Espírito Santo,2802
Federal District,3366
Goiás,6377
Maranhão,3371
Mato Grosso,4161
Mato Grosso do Sul,2584
Minas Gerais,17496
Paraná,8842
Paraíba,4088
Pará,3824
Pernambuco,13384
Piauí,2127
Rio Grande do Norte,2891
Rio Grande do Sul,10659
Rio de Janeiro (state),14984
Rondônia,1235
Roraima,920
Santa Catarina,7796
Sergipe,3803
São Paulo (state),48754
Tocantins,2549
Unknown,≤100
