Location name,Amount spent (CZK)
Central Bohemian Region,30996
Hradec Králové Region,12203
Karlovy Vary Region,5255
Liberec Region,9666
Moravian-Silesian Region,24226
Olomouc Region,13846
Pardubice Region,11477
Plzeň Region,13009
Prague,71379
South Bohemian Region,14208
South Moravian Region,35607
Unknown,≤100
Vysočina Region,11141
Zlín Region,12392
Ústí nad Labem Region,16231
