Location name,Amount spent (INR)
Andaman and Nicobar Islands,172
Andhra Pradesh,105485
Arunachal Pradesh,1405
Assam,13259
Bihar,58407
Chandigarh,3486
Chhattisgarh,150088
Dadra and Nagar Haveli,586
Delhi,43485
Goa,2932
Gujarat,47075
Haryana,40424
Himachal Pradesh,10387
Jammu and Kashmir,4993
Jharkhand,17822
Karnataka,42173
Kerala,12426
Lakshadweep,≤100
Madhya Pradesh,238764
Maharashtra,149551
Manipur,259
Meghalaya,759
Mizoram,1864
Nagaland,588
Odisha,12409
Puducherry,645
Punjab region,26440
Rajasthan,321501
Sikkim,684
Tamil Nadu,51891
Telangana,123153
Tripura,1453
Unknown,≤100
Uttar Pradesh,117436
Uttarakhand,14419
West Bengal,31732
