Location name,Amount spent (SEK)
Blekinge County,4513
Dalarna County,8522
Gotland County,2008
Gävleborg County,8991
Halland County,9201
Jämtland County,4179
Jönköping County,10199
Kalmar County,6729
Kronoberg County,5207
Norrbotten County,8399
Skåne County,43373
Stockholm County,74497
Södermanland County,8935
Unknown,≤100
Uppsala County,11646
Värmland County,7892
Västerbotten County,8335
Västernorrland County,8026
Västmanland County,8309
Västra Götaland County,62710
Örebro County,9032
Östergötland County,13818
