Location name,Amount spent (AUD)
Australian Capital Territory,1940
Jervis Bay Territory,≤100
New South Wales,25198
Norfolk Island,≤100
Northern Territory,866
Queensland,18099
South Australia,8954
Tasmania,2201
Unknown,≤100
Victoria,24983
Western Australia,9215
