Location name,Amount spent (SEK)
Blekinge County,2794
Dalarna County,5936
Gotland County,1294
Gävleborg County,5926
Halland County,5732
Jämtland County,2741
Jönköping County,6665
Kalmar County,4571
Kronoberg County,3330
Norrbotten County,5877
Skåne County,28039
Stockholm County,52170
Södermanland County,5917
Unknown,≤100
Uppsala County,8104
Värmland County,5026
Västerbotten County,6087
Västernorrland County,5239
Västmanland County,5459
Västra Götaland County,34199
Örebro County,5805
Östergötland County,8771
