Location name,Amount spent (JPY)
Aichi Prefecture,77829
Akita Prefecture,20102
Aomori Prefecture,4091
Chiba Prefecture,66668
Ehime Prefecture,8045
Fukui Prefecture,14425
Fukuoka Prefecture,145523
Fukushima Prefecture,5352
Gifu Prefecture,14976
Gunma Prefecture,23739
Hiroshima Prefecture,47169
Hokkaido,34845
Hyōgo Prefecture,61023
Ibaraki Prefecture,15701
Ishikawa Prefecture,7561
Iwate Prefecture,3730
Kagawa Prefecture,7458
Kagoshima Prefecture,8805
Kanagawa Prefecture,104851
Kumamoto Prefecture,15495
Kyoto Prefecture,25441
Kōchi Prefecture,3639
Mie Prefecture,12068
Miyagi Prefecture,12745
Miyazaki Prefecture,7701
Nagano Prefecture,19130
Nagasaki Prefecture,11532
Nara Prefecture,12335
Niigata Prefecture,12354
Okayama Prefecture,15051
Okinawa Prefecture,7610
Osaka Prefecture,42531
Saga Prefecture,6397
Saitama Prefecture,70707
Shiga Prefecture,12318
Shimane Prefecture,7625
Shizuoka Prefecture,23849
Tochigi Prefecture,51875
Tokushima Prefecture,4198
Tokyo,117125
Tottori Prefecture,1326
Toyama Prefecture,5818
Unknown,≤100
Wakayama Prefecture,8202
Yamagata Prefecture,6271
Yamaguchi Prefecture,3646
Yamanashi Prefecture,4142
Ōita Prefecture,11427
