Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
187073013532,Partido VIVA,Partido Político Visión con Valores,2886,10
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,2351,5
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,878,3
331961940541181,Partido Victoria,Partido Político Victoria,872,3
102762215788405,VOS.gt,VOS.gt,669,5
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,219,5
104917155362067,Roberto Arzu García-Granados,Roberto Arzú García-Granados,193,1
754661271544464,El Sol de Mixco,El Sol de Mixco,105,2
119057720784594,El Búho,El Búho,≤100,3
109323133802939,Neurona,Neurona,≤100,2
107174021421814,Noti Toto,These ads ran without a disclaimer,≤100,1
210285783754038,Noticias la Red Gt San Raymundo,Jennifer Lopez,≤100,1
633533543959309,Noticias la Red Gt San Pedro Sacatepéquez,Jennifer Lopez,≤100,1
115800489077874,Cambio Huehue,Cambio Huehue,≤100,1
595815224429068,Noticias la Red Gt San Juan Sacatepéquez,Jennifer Lopez,≤100,1
108066250929809,Noticias San Antonio Sacatépequez,Jennifer Lopez,≤100,1
110686825186521,Gualán nos UNE,Gualán nos UNE,≤100,1
281554395331686,República,"Republica GT, S.A.",≤100,2
100423518427634,Comisión Presidencial Contra la Corrupción,Comisión Presidencial Contra la Corrupción,≤100,1
124903597538641,Asociación ixim,Asociación ixim,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,4
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
