Location name,Amount spent (HUF)
Baranya County,190837
Borsod-Abaúj-Zemplén County,251243
Budapest,1185609
Bács-Kiskun County,229063
Békés County,144576
Csongrád County,219233
Fejér County,226385
Győr-Moson-Sopron County,218690
Hajdú-Bihar County,220212
Heves County,128328
Jász-Nagykun-Szolnok County,153200
Komárom-Esztergom County,140217
Nógrád County,66810
Pest County,536966
Somogy County,131741
Szabolcs-Szatmár-Bereg County,203321
Tolna County,110540
Unknown,199
Vas County,127170
Veszprém County,150714
Zala County,129773
