Location name,Amount spent (PYG)
Alto Paraguay Department,96870
Alto Paraná Department,4934998
Amambay Department,577630
Asunción,5221472
Boquerón department,232662
Caaguazú Department,1661588
Caazapá Department,382235
Canindeyú Department,532832
Central Department,13303406
Concepción Department (Paraguay),659794
Cordillera Department,1490057
Guairá Department,718036
Itapúa Department,2462701
Misiones Department,979543
Paraguarí Department,661517
Presidente Hayes Department,316853
San Pedro Department,689192
Unknown,628
Ñeembucú Department,606145
