Location name,Amount spent (LBP)
Beirut Governorate,4675499
Beqaa Governorate,1172340
Mount Lebanon Governorate,2755641
Nabatieh Governorate,509925
North Governorate,1997320
South Governorate,796428
Unknown,≤100
