Location name,Amount spent (ZAR)
Eastern Cape,1102
Free State,381
Gauteng,4321
KwaZulu-Natal,837
Limpopo,383
Mpumalanga,390
North West,322
Northern Cape,160
Unknown,≤100
Western Cape,3127
